S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHWU1|RAYMOR INDS INC|STOCK|A56058|CAN|CAD|CANHWU1|20061229|20100212
CANHWV1|RAMPTON RESOURCE CORP|STOCK|A03170|CAN|CAD|CANHWV1|19961231|20020815
CANHWV1|PANTERRA EXPL CORP|STOCK|A03170|CAN|CAD|CANHWV1|20020816|20040902
CANHWV1|PANTERRA RESOURCE CORP|STOCK|A03170|CAN|CAD|CANHWV1|20040903|20751231
CANHWW1|COLERAINE MNG RES INC|STOCK|A43808|CAN|CAD|CANHWW1|19961231|20011120
CANHWW1|AMEX EXPL INC|STOCK|A43808|CAN|CAD|CANHWW1|20011121|20751231
CANHWX1|REDBIRD GOLD CORP A|STOCK|A63285|CAN|CAD|CANHWX1|19990112|20030223
CANHWX1|METALCORP LTD|STOCK|A63285|CAN|CAD|CANHWX1|20030224|20751231
CANHWY1|MEDNET INTERNATIONAL LTD|STOCK|A16865|CAN|CAD|CANHWY1|19961231|20040217
CANHWZ1|RICE CAP MGMT PLUS INC|STOCK|A56059|CAN|CAD|CANHWZ1|19980729|20030928
CANHWZ1|JOVIAN CAP CORP|STOCK|A56059|CAN|CAD|CANHWZ1|20030929|20131006
CANHXA1|MADISON ENERGY CORP|STOCK|A43809|CAN|CAD|CANHXA1|19961231|20100506
CANHXB1|RAINBOW PETE CORP|STOCK|A43810|CAN|CAD|CANHXB1|19961231|19990708
CANHXB1|RAINBOW GROUP OF COMPANIES INC|STOCK|A43810|CAN|CAD|CANHXB1|19990709|20051012
CANHXB1|QWIP SYS INC|STOCK|A43810|CAN|CAD|CANHXB1|20051013|20061206
CANHXC1|ROCK CAP CORP|STOCK|A58307|CAN|CAD|CANHXC1|19961231|19990617
CANHXC1|TERRACO ENERGY CORP|STOCK|A58307|CAN|CAD|CANHXC1|19990618|20030512
CANHXC1|TERRACO GOLD CORP|STOCK|A58307|CAN|CAD|CANHXC1|20030513|20751231
CANHXD1|ODIN MNG & EXPL LTD|STOCK|A43811|CAN|CAD|CANHXD1|19961231|20751231
CANHXE1|RIDLEY CDA LTD|STOCK|A43813|CAN|CAD|CANHXE1|19970804|20751231
CANHXF1|RAPTOR CAP CORP|STOCK|A56060|CAN|CAD|CANHXF1|19961231|20090225
CANHXF1|VALPARAISO ENERGY INC|STOCK|A56060|CAN|CAD|CANHXF1|20090226|20751231
CANHXH1|LABRADOR INTERNATIONAL MINING|STOCK|A43815|CAN|CAD|CANHXH1|19961231|19990317
CANHXH1|ROYAL INTL VENTURE CORP|STOCK|A43815|CAN|CAD|CANHXH1|19990318|20000727
CANHXH1|RCOM VENTURES CORP|STOCK|A43815|CAN|CAD|CANHXH1|20000728|20050720
CANHXH1|WELLSTAR ENERGY CORP|STOCK|A43815|CAN|CAD|CANHXH1|20050721|20751231
CANHXI1|PAN-GLOBAL ENTERPRISES INC|STOCK|A43816|CAN|CAD|CANHXI1|19961231|20020307
